clade	P1	P3-1	P3-2	P3-3	P4	P5-1	P5-2	P5-3	P6	P7
P1	0	14254	14380	14165	14204	13992	14323	14105	14183	14170
P3-1	13313	0	14155	14024	13799	13383	13079	13471	13296	13018
P3-2	42274	42990	0	18556	41601	42240	42604	42258	42261	42014
P3-3	41971	42771	18468	0	41464	42056	42539	42132	41627	41844
P4	18183	18719	17686	17637	0	18108	18560	18458	18720	18275
P5-1	13666	13998	14020	13924	13803	0	13495	13806	13776	13338
P5-2	14009	13706	14396	14419	14267	13507	0	14367	13904	13795
P5-3	14208	14515	14467	14429	14582	14235	14784	0	14311	14061
P6	13760	13814	13944	13398	14318	13679	13795	13785	0	13682
P7	14246	14035	14196	14114	14372	13740	14185	14034	14181	0
