clade	P1	P3-1	P3-2	P3-3	P4	P5-1	P5-2	P5-3	P6	P7
P1	27622	13368	13242	13457	13418	13630	13299	13517	13439	13452
P3-1	13368	26681	12526	12657	12882	13298	13602	13210	13385	13663
P3-2	13242	12526	55516	36960	13915	13276	12912	13258	13255	13502
P3-3	13457	12657	36960	55428	13964	13372	12889	13296	13801	13584
P4	13418	12882	13915	13964	31601	13493	13041	13143	12881	13326
P5-1	13630	13298	13276	13372	13493	27296	13801	13490	13520	13958
P5-2	13299	13602	12912	12889	13041	13801	27308	12941	13404	13513
P5-3	13517	13210	13258	13296	13143	13490	12941	27725	13414	13664
P6	13439	13385	13255	13801	12881	13520	13404	13414	27199	13517
P7	13452	13663	13502	13584	13326	13958	13513	13664	13517	27698
