samp	P1-S10	P1-S11	P1-S12	P1-S13	P1-S14	P1-S15	P1-S1	P1-S2	P1-S3	P1-S4	P1-S5	P1-S6	P1-S7	P1-S8	P1-S9	P3-S1	P3-S2	P3-S3	P3-S4	P3-S5	P3-S6	P3-S8	P3-S9	P3-S10	P3-S11	P3-S12	P3-S13	P3-S14	P3-S15	P3-S16	P3-S7	P4-S1	P4-S2	P4-S3	P4-S4	P4-S5	P4-S6	P4-S7	P4-S8	P4-S9	P4-S10	P5-S1	P5-S2	P5-S3	P5-S4	P5-S5	P5-S6	P5-S7	P6-S1	P6-S2	P6-S3	P6-S4	P6-S5	P6-S6	P7-S1	P7-S2	P7-S3	P7-S4	P7-S5	P7-S6
P1-S10	0/21574	5/21569	107/21467	6/21568	4/21570	4/21570	66/21508	8/21566	5/21569	5/21569	6/21568	6/21568	5/21569	6/21568	7/21567	10994/10580	10993/10581	10994/10580	10994/10580	10992/10582	11202/10372	11201/10373	11201/10373	11201/10373	11201/10373	11202/10372	11201/10373	11202/10372	11202/10372	11202/10372	11039/10535	10682/10892	10682/10892	10682/10892	10682/10892	10862/10712	10682/10892	10682/10892	10681/10893	10682/10892	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10681/10893	10925/10649	10925/10649	10925/10649	10925/10649	10925/10649	10925/10649	10832/10742	10832/10742	10834/10740	10832/10742	10832/10742	10832/10742
P1-S11	17/21569	0/21586	115/21471	2/21584	1/21585	1/21585	79/21507	20/21566	14/21572	14/21572	14/21572	20/21566	18/21568	14/21572	16/21570	11006/10580	11005/10581	11006/10580	11006/10580	11004/10582	11215/10371	11214/10372	11214/10372	11214/10372	11214/10372	11215/10371	11214/10372	11215/10371	11215/10371	11215/10371	11052/10534	10694/10892	10694/10892	10694/10892	10694/10892	10874/10712	10694/10892	10694/10892	10693/10893	10694/10892	10693/10893	10694/10892	10694/10892	10694/10892	10694/10892	10694/10892	10694/10892	10694/10892	10938/10648	10938/10648	10938/10648	10938/10648	10938/10648	10938/10648	10845/10741	10845/10741	10847/10739	10845/10741	10845/10741	10845/10741
P1-S12	6/21467	2/21471	0/21473	3/21470	2/21471	2/21471	68/21405	9/21464	3/21470	3/21470	3/21470	9/21464	7/21466	3/21470	2/21471	10954/10519	10953/10520	10954/10519	10954/10519	10952/10521	11168/10305	11167/10306	11167/10306	11167/10306	11167/10306	11168/10305	11167/10306	11168/10305	11168/10305	11168/10305	11008/10465	10651/10822	10651/10822	10651/10822	10651/10822	10831/10642	10651/10822	10651/10822	10650/10823	10651/10822	10650/10823	10646/10827	10646/10827	10646/10827	10646/10827	10646/10827	10646/10827	10646/10827	10897/10576	10897/10576	10897/10576	10897/10576	10897/10576	10897/10576	10804/10669	10804/10669	10806/10667	10804/10669	10804/10669	10804/10669
P1-S13	20/21568	4/21584	118/21470	0/21588	3/21585	2/21586	82/21506	22/21566	16/21572	16/21572	17/21571	21/21567	21/21567	16/21572	19/21569	11009/10579	11007/10581	11009/10579	11009/10579	11007/10581	11217/10371	11216/10372	11215/10373	11216/10372	11215/10373	11217/10371	11216/10372	11217/10371	11217/10371	11217/10371	11054/10534	10695/10893	10695/10893	10695/10893	10695/10893	10875/10713	10695/10893	10695/10893	10694/10894	10695/10893	10694/10894	10695/10893	10695/10893	10696/10892	10696/10892	10695/10893	10695/10893	10695/10893	10941/10647	10941/10647	10941/10647	10941/10647	10941/10647	10941/10647	10847/10741	10847/10741	10848/10740	10847/10741	10847/10741	10847/10741
P1-S14	20/21570	5/21585	119/21471	5/21585	0/21590	3/21587	82/21508	24/21566	16/21574	17/21573	18/21572	23/21567	21/21569	17/21573	19/21571	11010/10580	11009/10581	11010/10580	11010/10580	11008/10582	11218/10372	11217/10373	11217/10373	11217/10373	11217/10373	11218/10372	11217/10373	11218/10372	11218/10372	11218/10372	11055/10535	10697/10893	10697/10893	10697/10893	10697/10893	10877/10713	10697/10893	10697/10893	10696/10894	10697/10893	10696/10894	10696/10894	10696/10894	10696/10894	10696/10894	10696/10894	10696/10894	10696/10894	10941/10649	10941/10649	10941/10649	10941/10649	10941/10649	10941/10649	10847/10743	10847/10743	10849/10741	10847/10743	10847/10743	10847/10743
P1-S15	18/21570	3/21585	117/21471	2/21586	1/21587	0/21588	80/21508	22/21566	14/21574	15/21573	16/21572	21/21567	19/21569	15/21573	17/21571	11008/10580	11006/10582	11008/10580	11008/10580	11006/10582	11216/10372	11215/10373	11214/10374	11215/10373	11214/10374	11216/10372	11215/10373	11216/10372	11216/10372	11216/10372	11053/10535	10695/10893	10695/10893	10695/10893	10695/10893	10875/10713	10695/10893	10695/10893	10694/10894	10695/10893	10694/10894	10693/10895	10693/10895	10694/10894	10694/10894	10693/10895	10693/10895	10693/10895	10939/10649	10939/10649	10939/10649	10939/10649	10939/10649	10939/10649	10845/10743	10845/10743	10847/10741	10845/10743	10845/10743	10845/10743
P1-S1	1/21508	2/21507	104/21405	3/21506	1/21508	1/21508	0/21509	4/21505	2/21507	2/21507	2/21507	5/21504	1/21508	2/21507	3/21506	10961/10548	10960/10549	10961/10548	10961/10548	10959/10550	11158/10351	11157/10352	11157/10352	11157/10352	11157/10352	11158/10351	11157/10352	11158/10351	11158/10351	11158/10351	10997/10512	10661/10848	10661/10848	10661/10848	10661/10848	10841/10668	10661/10848	10661/10848	10660/10849	10661/10848	10660/10849	10667/10842	10667/10842	10667/10842	10667/10842	10667/10842	10667/10842	10667/10842	10907/10602	10907/10602	10907/10602	10907/10602	10907/10602	10907/10602	10805/10704	10805/10704	10807/10702	10805/10704	10805/10704	10805/10704
P1-S2	0/21566	0/21566	102/21464	0/21566	0/21566	0/21566	61/21505	0/21566	0/21566	0/21566	0/21566	1/21565	0/21566	0/21566	2/21564	10987/10579	10986/10580	10987/10579	10987/10579	10985/10581	11195/10371	11194/10372	11194/10372	11194/10372	11194/10372	11195/10371	11194/10372	11195/10371	11195/10371	11195/10371	11033/10533	10674/10892	10674/10892	10674/10892	10674/10892	10854/10712	10674/10892	10674/10892	10673/10893	10674/10892	10673/10893	10675/10891	10675/10891	10675/10891	10675/10891	10675/10891	10675/10891	10675/10891	10919/10647	10919/10647	10919/10647	10919/10647	10919/10647	10919/10647	10826/10740	10826/10740	10827/10739	10826/10740	10826/10740	10826/10740
P1-S3	5/21569	2/21572	104/21470	2/21572	0/21574	0/21574	67/21507	8/21566	0/21574	2/21572	3/21571	7/21567	6/21568	2/21572	4/21570	10994/10580	10993/10581	10994/10580	10994/10580	10992/10582	11202/10372	11201/10373	11201/10373	11201/10373	11201/10373	11202/10372	11201/10373	11202/10372	11202/10372	11202/10372	11040/10534	10681/10893	10681/10893	10681/10893	10681/10893	10861/10713	10681/10893	10681/10893	10680/10894	10681/10893	10680/10894	10680/10894	10680/10894	10680/10894	10680/10894	10680/10894	10680/10894	10680/10894	10925/10649	10925/10649	10925/10649	10925/10649	10925/10649	10925/10649	10831/10743	10831/10743	10833/10741	10831/10743	10831/10743	10831/10743
P1-S4	6/21569	3/21572	105/21470	3/21572	2/21573	2/21573	68/21507	9/21566	3/21572	0/21575	4/21571	9/21566	7/21568	4/21571	5/21570	10996/10579	10995/10580	10996/10579	10996/10579	10994/10581	11203/10372	11202/10373	11202/10373	11202/10373	11202/10373	11203/10372	11202/10373	11203/10372	11203/10372	11203/10372	11040/10535	10683/10892	10683/10892	10683/10892	10683/10892	10863/10712	10683/10892	10683/10892	10682/10893	10683/10892	10682/10893	10683/10892	10683/10892	10683/10892	10683/10892	10683/10892	10683/10892	10683/10892	10927/10648	10927/10648	10927/10648	10927/10648	10927/10648	10927/10648	10834/10741	10834/10741	10835/10740	10834/10741	10834/10741	10834/10741
